entityType,firstAppearanceInMarioMaker,firstAppearanceInMarioMaker_version,isInSuperMarioMaker1,isInSuperMarioMakerFor3DS,isInSuperMarioMaker2,isInSMBGameStyle,isInSMB3GameStyle,isInSMWGameStyle,isInNSMBUGameStyle,isInSM3DWGameStyle,isInGroundTheme,isInUndergroundTheme,isInUnderwaterTheme,isInDesertTheme,isInSnowTheme,isInSkyTheme,isInForestTheme,isInGhostHouseTheme,isInAirshipTheme,isInCastleTheme,isInDayTime,isInNightTime,categoryInTheEditor,hasAMushroomVariant,canBeInAParachute,canBeInAParachute_comment,canHaveWings,canHaveWings_comment,canContainOrSpawnAKey,isAffectedDirectlyByAnOnOrOffState,isAffectedDirectlyByAnOnOrOffState_comment,canBePutOnATrack,editorLimit_canBePutOnATrack,whilePlaying_canBePutOnATrack,canSpawnOutOfAPipe,canBePutInASwingingClaw,canBeThrownByALakitu,canBePutInALakituCloud,canBePutInAClownCar,canBeFiredOutOfABulletLauncher,canComeOutOfABlock,canBePutInATree,weight,lightSourceEmitted,lightSourceEmitted_isInSMB,canSurviveInTheLavaOrThePoison,canIgniteABobOmb,canBeBrokenOrKilledByABobOmb,canBeAffectedByATwister,canGoThroughWalls,canGoThroughWalls_SM3DW,canBeStacked,isGlobalGroundOrGlobal,isGlobalGroundOrGlobal_SM3DW,instrument,canMakeASoundOutOfAMusicBlock,canMakeASoundOutOfAMusicBlock_comment,canBeThrownByBowserInClownCar,canBeThrownByBowserJr,canBeThrownByBowserJrInClownCar,canBeTransformedByMagikoopa,canBeSpawnedByMagikoopa,canBeSpawnedByWingedMagikoopa,limitAmount,editorLimit_SMM1And3DS,editorLimit_SMM2,editorLimit_SMM2_isUnknown,whilePlaying_isInGEL,whilePlaying_isInGEL_comment,whilePlaying_isInGEL_isSuperGlobal,whilePlaying_isInGEL_isSuperGlobal_comment,whilePlaying_isInPL,whilePlaying_isInPJL,whilePlaying_isInPJL_comment,whilePlaying_isInObjectRenderedLimit,whilePlaying_isInObjectRenderedLimit_comment,whilePlaying_isInCollectedCoinLimit,whilePlaying_otherLimit,whilePlaying_otherLimit_comment,whilePlaying_otherLimit_isUnknown,canRespawn,canRespawn_online,canRespawn_online_inABlock,behaviour_solo,behaviour_localCoop,behaviour_onlineCoop,behaviour_onlineVS,offscreenSpawningAndDespawningReferencePoint,offscreenSpawningHorizontalRange,offscreenDespawningHorizontalRange,offscreenSpawningUpwardVerticalRange,offscreenDespawningUpwardVerticalRange,offscreenSpawningDownwardVerticalRange,offscreenDespawningDownwardVerticalRange,dimension,dimension_maximum,dimension_differentSM3DW,dimension_maximum_differentSM3DW,inDayTime,inNightTime,inGroundTheme,inUndergroundTheme,inUnderwaterTheme,inDesertTheme,inSnowTheme,inSkyTheme,inForestTheme,inGhostHouseTheme,inAirshipTheme,inCastleTheme,inSMBGameStyle,inSMB3GameStyle,inSMWGameStyle,inNSMBUGameStyle,inSM3DWGameStyle,hasANameReferencedInMarioMaker,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
Entity,1,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Terrain,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Block Limit,Ground Limit,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,1x1,,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,TRUE,Ground,,,Sol,,,Boden,Suelo,,,Terra,Grond,???,,,Земля,地面,地面,,,땅
Object,1,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,N/A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,N/A,N/A,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,7x1,7x25,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,Only spoken (in english) in Editor,Start Ground,,,Sol de départ,,,???,???,,,???,???,???,,,???,???,???,,,???
Object,1,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,N/A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,N/A,N/A,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,10x1,10x15,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,Only spoken (in english) in Editor,Goal Ground,,,Sol d’arrivée,,,???,???,,,???,???,???,,,???,???,???,,,???
Entity,2,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Terrain,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,N/A,Extendable Terrain Limit,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,"2x2
(by 2x1 chunk)","14x14
(by 2x1 chunk)",,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,TRUE,Steep Slope,,,Pente abrupte,,,Steiler Abhang,Pendiente abrupta,,,Salita ripida,Steile helling,???,,,Крутой спуск,きゅうな坂,陡坡,,,가파른 비탈길
Entity,2,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Terrain,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,N/A,Extendable Terrain Limit,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,"2x4
(by 4x4 chunk + 1x1 side)","26x14
(by 4x4 chunk + 1x1 side)",,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,TRUE,Gentle Slope,,,Pente douce,,,Stanfter Abhang,Pendiente suave,,,Salita poco ripida,Lichte helling,???,,,Покатый спуск,ゆるやかな坂,,緩坡,缓坡,완만한 비탈길
Object,1,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,N/A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,N/A,N/A,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,3x1,,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,FALSE,Start Block,,,Bloc de départ,,,???,???,,,???,???,???,,,???,???,???,,,???
Object,1,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,N/A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,N/A,N/A,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,"1x∞
(only on the top or bottom of the screen)","[level width]x∞
(only on the top or bottom of the screen)",,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,FALSE,Occlude Block,,,???,,,???,???,,,???,???,???,,,???,???,???,,,???
Object,2,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,N/A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,N/A,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,N/A,N/A,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,∞x1,∞x25,,,this,,,,,,,,this,,,,this,this,this,this,this,FALSE,Water,,,Eau,,,???,Agua,,,Acqua,Water,???,,,???,???,???,,,???
Object,2,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,N/A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,N/A,N/A,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,∞x1,∞x25,,,this,this,,,,,,,,,,this,this,this,this,this,this,FALSE,Lava,,,Lave,,,Lava,Lava,,,Lava,Lava,???,,,Лава,溶岩,,岩漿,岩浆,용암
Object,2,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,N/A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,N/A,N/A,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,∞x1,∞x25,,,,this,,,,,,,this,,,,this,this,this,this,,FALSE,Poison,,,Poison,,,???,Agua tóxica,,,Veleno,Gifwater,???,,,???,???,???,,,???
