english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
Snare drum,,,Caisse claire,,,,,,,,,,,,,,,,,
Steel drum,,,Tambour d'acier,,,,,,,,,,,,,,,,,
Bass drum,,,Grosse caisse,,,,,,,,,,,,,,,,,
Taiko,,,Taiko,,,,,,,,,,,,,,,,,
Gamelan,,,Gamelan,,,,,,,,,,,,,,,,,
Cowbell,,,Cloche à vache,,,,,,,,,,,,,,,,,
Cymbal,,,Cymbale,,,,,,,,,,,,,,,,,
Hi-hat,,,Hi-hat,,,,,,,,,,,,,,,,,
Tom,,,Tom,,,,,,,,,,,,,,,,,
Synthetic tom,,,Tom synthétique,,,,,,,,,,,,,,,,,
Wood block,,,Wood block,,,,,,,,,,,,,,,,,
Sleigh bell,,,Gelot,,,,,,,,,,,,,,,,,
Synthetic bell,,,Cloche synthétique,,,,,,,,,,,,,,,,,
Wind chimes,,,Carillons,,,,,,,,,,,,,,,,,
Gong,,,Gong,,,,,,,,,,,,,,,,,
Mokugyo,,,Mokugyo,,,,,,,,,,,,,,,,,
Kazoo,,,Gazou,,,,,,,,,,,,,,,,,
Music box,,,Boîte à musique,,,,,,,,,,,,,,,,,
Marimba,,,Marimba,,,,,,,,,,,,,,,,,
Vibraphone,,,Vibraphone,,,,,,,,,,,,,,,,,
Timpani,,,Timbales,,,,,,,,,,,,,,,,,
Timpani roll,,,Roulement de timbales,,,,,,,,,,,,,,,,,
Timbales,,,Timbales cubaines,,,,,,,,,,,,,,,,,
Tubular bell,,,Cloche tubulaire,,,,,,,,,,,,,,,,,
Organ,,,Orgue,,,,,,,,,,,,,,,,,
Pipe organ,,,Orgue d'église,,,,,,,,,,,,,,,,,
Guitar (long),,,Guitare (long),,,,,,,,,,,,,,,,,
Electric guitar,,,Guitare électrique,,,,,,,,,,,,,,,,,
Acoustic guitar,,,Guitare acoustique,,,,,,,,,,,,,,,,,
Bass,,,Basse,,,,,,,,,,,,,,,,,
Electric bass,,,Basse électrique,,,,,,,,,,,,,,,,,
Synthetic bass,,,Basse synthétique,,,,,,,,,,,,,,,,,
Sub bass?,,,???,,,,,,,,,,,,,,,,,
"Bass ""glissando""",,,«Glissando» de basse,,,,,,,,,,,,,,,,,
Oud,,,Oud,,,,,,,,,,,,,,,,,
Santur,,,Santour,,,,,,,,,,,,,,,,,
Shamisen,,,Shamisen,,,,,,,,,,,,,,,,,
Piano 1,,,Piano 1,,,,,,,,,,,,,,,,,
Piano 2,,,Piano 2,,,,,,,,,,,,,,,,,
Piano (4th A),,,Piano (4ème La),,,,,,,,,,,,,,,,,
Reverse piano,,,Piano inversé,,,,,,,,,,,,,,,,,
Honky-Tonk piano,,,Piano Honky-Tonk,,,,,,,,,,,,,,,,,
"""Pizzicato"" string",,,Corde «pizzicato»,,,,,,,,,,,,,,,,,
"""Staccato"" string",,,Corde «staccato»,,,,,,,,,,,,,,,,,
Harpsichord,,,Clavecin ,,,,,,,,,,,,,,,,,
Recorder,,,Enregistreur,,,,,,,,,,,,,,,,,
Synthesizer,,,Synthétiseur,,,,,,,,,,,,,,,,,
Synthesizer chord,,,Accord de synthétiseur,,,,,,,,,,,,,,,,,
Chord CM?,,,???,,,,,,,,,,,,,,,,,
Flute,,,Flûte,,,,,,,,,,,,,,,,,
Saxophone,,,Saxophone,,,,,,,,,,,,,,,,,
Trombone,,,Trombone,,,,,,,,,,,,,,,,,
Horn,,,Cor,,,,,,,,,,,,,,,,,
Synthetic brass,,,Cuivre synthétique,,,,,,,,,,,,,,,,,
Violin,,,Violon,,,,,,,,,,,,,,,,,
Harp,,,Harpe,,,,,,,,,,,,,,,,,
Accordion (bass sound),,,Accordéon (son grave),,,,,,,,,,,,,,,,,
Accordion (treble sound),,,Accordéon (son aigu),,,,,,,,,,,,,,,,,
Zurna,,,Zurna,,,,,,,,,,,,,,,,,
Bagpipe,,,Cornemuse,,,,,,,,,,,,,,,,,
Orchestra hit,,,Coup d'orchestre,,,,,,,,,,,,,,,,,
Dog's bark,,,Aboiement de chien,,,,,,,,,,,,,,,,,
Cat's meow,,,Miaulement de chat,,,,,,,,,,,,,,,,,
Chicken,,,Poulet,,,,,,,,,,,,,,,,,
Ah,,,Ah,,,,,,,,,,,,,,,,,
Ok,,,Ok,,,,,,,,,,,,,,,,,
Hello,,,Allo,,,,,,,,,,,,,,,,,
Yeah,,,Yeah,,,,,,,,,,,,,,,,,
Square wave,,,Signal carré,,,,,,,,,,,,,,,,,
Sound effect 1?,,,???,,,,,,,,,,,,,,,,,
Noise,,,Bruit,,,,,,,,,,,,,,,,,
Bomb,,,Bombe,,,,,,,,,,,,,,,,,
