notificationIfUnlocked,MM2_version,category,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
,,Headgear,None,,,Rien,,,Nichts,Ninguno,,,Nessuno,Geen,,,,Без головного убора,なし,,無,无,없음
,,Top,Nintendo Shirt,,,T-shirt Nintendo,,,Nintendo-Shirt,Camiseta Nintendo,,,Maglietta Nintendo,Nintendo-T-shirt,,,,Футболка Nintendo,ニンテンドーシャツ,,任天堂襯衫,Nintendo衬衫,닌텐도 셔츠
Rank S in Multiplayer VS,,Top,Nintendo Uniform,,,Uniforme Nintendo,,,Nintendo-Uniform,Uniforme Nintendo,,,Uniforme Nintendo,Nintendo-uniform,,,,Униформа Nintendo,ニンテンドーの制服,,任天堂的制服,Nintendo制服,닌텐도 유니폼
,,Bottom,Black Short-Shorts,,,Short noir,,,Schwarz-Shorts,Pantalón corto negro,,,Pantaloncini neri,Zwarte korte broek,,,,Черные шорты,黒い短パン,,黑色短褲,黑色短裤,검정 반바지
,,Bottom,Denim Jeans,,,Jean,,,Jeans,,Pantalón de mezclilla,Pantalón vaquero,Jeans,Spijkerbroek,,,,Джинсы,デニムパンツ,,牛仔褲子,牛仔裤,청바지
,,Bottom,Denim Skirt,,,Jupe en jean,,,Jeansrock,,Falda de mezclilla,Falda vaquera,Gonna di jeans,Spijkerrok,,,,Джинсовая юбка,デニムスカート,,牛仔裙子,牛仔裙,청치마
Play 1000 course,,Headgear,Mario Cap,,,Casquette de Mario,,,Mario-Mütze,Gorra de Mario,,,Cappello di Mario,Mario's pet,,,,Кепка Марио,マリオのぼうし,,瑪利歐的帽子,马力欧帽,마리오 모자
Play 100 course,,Costume,Mario Outfit,,,,Salopette de Mario,Bleu de Mario,Mario-Anzug,Traje de Mario,,,Tuta di Mario,Mario's outfit,,,,Комбинезон Марио,マリオの服,,瑪利歐的服裝,马力欧服,마리오 옷
Hold 100 world record,,Bottom,Mario Swim Trunks,,,Costume de bain de Mario,,,Mario-Badehose,,Traje de baño de Mario,Bañador de Mario,Costume da bagno di Mario,Mario's zwembroek,,,,Плавки Марио,マリオの海パン,,瑪利歐的沙灘褲,马力欧沙滩裤,마리오 수영복
High score of 300 in Endless Challenge (easy),3.0.0,Costume,Frog Mario Raincoat,,,,Manteau Mario grenouille,Ciré Mario grenouille,Frisch-Mario-Regenmantel,,Impermeable de Mario rana,Impermeable de Mario Rana,Impermeabile Mario rana,Kikker-Mario-regenjas,,,,Плащ с Марио-лягушкой,カエルマリオのレインコート,,青蛙瑪利歐的雨衣,青蛙马力欧雨衣,개구리마리오 레인코트
,,Top,1-Up Hoodie,,,,Coton ouaté 1-UP,Sweat à capuche 1UP,1-Up-Hoodie,Sudadera vida extra,,,Felpa 1-UP,1UP-capuchontrui,,,,Супертолстовка,1UPほしいパーカー,,1UP連帽衣,1UP卫衣,1UP 파카
Clear 500 course,,Headgear,Propeller Mario Helmet,,,,Casque de Mario hélico,Casque de Mario hélice,Propeller-Mario-Helm,,Casco de Mario aviador,Casco de Mario Helicóptero,Casco di Mario elica,Propeller-Mario's helm,,,,Шлем Марио-вертолета,プロペラマリオのヘルメット,,螺旋槳瑪利歐的安全帽,螺旋桨马力欧头盔,프로펠러마리오 헬멧
Clear 500 course,,Costume,Propeller Mario Clothes,,,Combinaison de Mario hélico,,,Propeller-Mario-Anzug,,Traje de Mario aviador,Traje de Helicóptero,Tuta di Mario elica,Propeller-Mario's outfit,,,,Костюм Марио-вертолета,プロペラマリオの服,,螺旋槳瑪利歐的服裝,螺旋桨马力欧服,프로펠러마리오 옷
High score of 500 in Endless Challenge (easy),3.0.0,Headgear,Super Acorn Hat,,,Coiffe de super gland,,,Super-Eichel-Hut,Gorra de superbellota,,,Cappello super ghianda,Supereikelmuts,,,,Шапка-супержелудь,スーパードングリのぼうし,,超級橡栗的帽子,超级橡栗帽,슈퍼도토리 모자
Play 100 course,,Headgear,Cat Mario Headgear,,,Casque de Mario chat,,,Katzen-Mario-Kapuze,,Gorro de Mario felino,Gorro de Mario Felino,Copricapo di Mario gatto,Kat-Mario-muts,,,,Шапка Марио-кота,ネコマリオのかぶり物,,貓咪瑪利歐的頭套,猫咪马力欧头饰,고양이마리오 모자
Play 100 course,,Costume,Cat Mario Suit,,,Costume de Mario chat,,,Katzen-Mario-Anzug,,Traje de Mario felino,Traje de Mario Felino,Costume di Mario gatto,Kat-Mario-pak,,,,Костюм Марио-кота,ネコマリオの着ぐるみ,,貓咪瑪利歐的布偶裝,猫咪马力欧玩偶服,고양이마리오 코스튬
Hit Middle ? Block near Purple Toad,,Headgear,Superball Mario Hat,,,Casque de Mario super boule,,,Superball-Mario-Hut,,Sombrero de Mario superbola,Sombrero de Mario Superbola,Cappello di Mario Superball,Superbal-Mario-hoed,,,,Шапка Марио с супершаром,スーパーボールマリオのぼうし,,彈力球瑪利歐的帽子,弹力球马力欧帽,슈퍼볼마리오 모자
Hit Middle ? Block near Purple Toad,,Costume,Superball Mario Suit,,,Costume de Mario super boule,,,Superball-Mario-Anzug,,Traje de Mario superbola,Traje de Mario Superbola,Costume di Mario Superball,Superbal-Mario-pak,,,,Наряд Марио с супершаром,スーパーボールマリオの着ぐるみ,,彈力球瑪利歐的布偶裝,弹力球马力欧玩偶服,슈퍼볼마리오 코스튬
